epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.691,2.10403,4.48459,3.25856,1.5768,0.01548,0.00735,0.00972,0.00632,0.01317,0.00626,0.00856,0.00412,1.87701,4.51753,3.23561,1.49564,4e-05,4e-05,4e-05
2,591.396,1.9413,4.51429,3.23044,1.5372,0.01786,0.00849,0.01392,0.01001,0.01547,0.00735,0.01271,0.00812,1.83572,4.35564,3.19954,1.44603,9.505e-05,9.505e-05,9.505e-05
3,874.197,1.94523,4.18308,3.13324,1.48891,0.02207,0.01048,0.01625,0.0111,0.02147,0.0102,0.01577,0.00925,1.72143,3.96805,3.12824,1.33903,0.00014416,0.00014416,0.00014416
4,1078.49,1.71615,3.70798,2.85205,1.34257,0.02624,0.01247,0.01868,0.01295,0.02692,0.01279,0.01901,0.01101,1.69747,3.60753,3.07376,1.24812,0.00018733,0.00018733,0.00018733
5,1422.48,1.62245,3.11305,2.3875,1.24914,0.03205,0.01523,0.02166,0.01454,0.03171,0.01507,0.02143,0.01201,1.6406,3.5273,2.96137,1.15403,0.00022456,0.00022456,0.00022456
6,1630.65,1.54105,2.9687,1.98104,1.20985,0.03453,0.01641,0.02292,0.01497,0.03282,0.0156,0.02203,0.01333,1.59725,3.59084,2.84173,1.12859,0.00025585,0.00025585,0.00025585
7,1942.45,1.64046,3.19079,1.83909,1.23627,0.03342,0.01588,0.02239,0.01464,0.03393,0.01613,0.02267,0.01341,1.59106,3.54759,2.72193,1.11914,0.0002812,0.0002812,0.0002812
8,2157.82,1.57154,2.87709,1.68781,1.22383,0.03393,0.01613,0.02305,0.01506,0.03444,0.01637,0.02349,0.01367,1.5854,3.5627,2.67334,1.10988,0.00030061,0.00030061,0.00030061
9,2424.88,1.53869,2.81919,1.55191,1.16772,0.03615,0.01718,0.02495,0.01602,0.03641,0.0173,0.02505,0.01451,1.61268,3.42565,2.5894,1.11352,0.00031408,0.00031408,0.00031408
10,2631.7,1.59203,2.94702,1.54917,1.19976,0.03761,0.01787,0.02572,0.01657,0.03701,0.01759,0.02539,0.01487,1.60708,3.39503,2.54355,1.10308,0.00032161,0.00032161,0.00032161
11,2725.34,1.61487,2.90619,1.83052,1.21726,0.0394,0.01873,0.02674,0.01679,0.03778,0.01795,0.02572,0.01441,1.66225,3.22459,2.49014,1.10926,0.0003232,0.0003232,0.0003232
12,2783.04,1.62101,2.87097,1.69835,1.18171,0.04051,0.01925,0.02735,0.01718,0.03855,0.01832,0.0262,0.01445,1.65231,3.23568,2.47029,1.10968,0.00031885,0.00031885,0.00031885
13,2860.28,1.59694,2.8073,1.64852,1.16052,0.04205,0.01998,0.02825,0.01765,0.03974,0.01889,0.02683,0.01492,1.60918,3.29482,2.43,1.08976,0.00030856,0.00030856,0.00030856
14,2921.21,1.63561,2.93903,1.6243,1.19555,0.04291,0.02039,0.0289,0.01814,0.04034,0.01917,0.02731,0.01506,1.60924,3.34416,2.40206,1.07442,0.00029233,0.00029233,0.00029233
15,2992.21,1.54879,2.80331,1.60212,1.16125,0.04436,0.02108,0.03049,0.0192,0.04256,0.02023,0.02908,0.01609,1.61988,3.26955,2.33045,1.0584,0.00027016,0.00027016,0.00027016
16,3058.16,1.4844,2.73814,1.51657,1.10317,0.04513,0.02145,0.0315,0.01966,0.04419,0.021,0.03073,0.01672,1.61218,3.19607,2.28012,1.05833,0.00024205,0.00024205,0.00024205
17,3129.19,1.51895,2.69241,1.55911,1.13355,0.04863,0.02311,0.03496,0.0215,0.04658,0.02214,0.03347,0.01888,1.60609,3.22375,2.17925,1.05363,0.000208,0.000208,0.000208
18,3194.31,1.49292,2.8064,1.45392,1.09485,0.05034,0.02392,0.03646,0.02257,0.04863,0.02311,0.03525,0.0198,1.59383,3.2309,2.1209,1.04884,0.00016801,0.00016801,0.00016801
19,3257.67,1.55646,2.71561,1.46074,1.15159,0.05051,0.02401,0.03729,0.0231,0.0494,0.02348,0.03632,0.02028,1.57758,3.19518,2.0663,1.04414,0.00012208,0.00012208,0.00012208
20,3343.06,1.49586,2.83853,1.52124,1.10075,0.05128,0.02437,0.03814,0.02351,0.04991,0.02372,0.0368,0.02039,1.55781,3.17063,2.01734,1.03708,7.021e-05,7.021e-05,7.021e-05
